,Peak CCU,DLC count,Metacritic score,User score,Positive,Negative,Achievements,Recommendations,Average playtime forever,Median playtime forever
472,0,0,0,0,74,28,0,0,304,241
473,0,1,69,0,128,20,13,0,103,103
474,0,0,0,0,0,0,0,0,0,0
475,1665,1,0,0,37900,5785,43,32979,638,566
476,0,0,0,0,15,27,0,0,0,0
477,0,0,0,0,46,3,11,0,0,0
478,0,0,0,0,0,0,0,0,0,0
479,8,0,0,0,72,71,0,128,557,557
480,0,0,0,0,4,0,0,0,0,0
481,2,2,0,0,1852,496,9,1170,168,112
482,0,0,0,0,3,3,0,0,0,0
483,0,0,0,0,104,20,124,110,0,0
484,0,0,0,0,25,0,0,0,0,0
485,0,0,0,0,70,38,10,0,0,0
486,102,0,73,0,2479,301,102,2533,669,853
487,4,0,0,0,17,11,0,0,0,0
488,0,0,0,0,6,1,10,0,0,0
489,0,0,0,0,19,1,16,0,0,0
490,57,0,0,0,851,157,2,980,424,613
491,0,0,0,0,0,0,0,0,0,0
492,1,0,0,0,225,23,39,177,0,0
493,0,0,0,0,6,1,0,0,0,0
494,0,0,0,0,4,13,0,0,0,0
495,0,0,0,0,2,3,0,0,0,0
496,0,0,0,0,4,0,0,0,0,0
497,0,0,0,0,1,1,0,0,0,0
498,45,3,0,0,3383,533,51,3727,147,235
499,0,0,0,0,139,30,0,0,33,48
500,0,0,0,0,32,12,1,0,0,0
501,2,0,0,0,5,0,0,0,0,0
502,4,13,0,0,0,0,0,0,8,9
503,9,0,0,0,19,7,0,0,0,0
504,12,0,0,0,264,46,37,274,241,358
505,0,0,0,0,4,6,5,0,1,1
506,0,0,0,0,26,13,1,0,0,0
507,0,0,0,0,41,5,17,0,0,0
508,0,0,0,0,9,3,0,0,0,0
509,0,1,0,0,8,5,10,0,0,0
510,0,0,0,0,1,1,7,0,0,0
511,0,0,0,0,4,0,8,0,0,0
512,1,0,0,0,228,42,0,259,0,0
513,3,0,68,0,544,83,60,435,117,140
514,0,0,0,0,29,7,0,0,0,0
515,0,0,0,0,13,8,0,0,1,1
516,1,0,0,0,564,101,0,428,172,232
517,0,0,70,0,43,6,19,0,0,0
518,0,0,0,0,14,3,0,0,0,0
519,0,0,0,0,8,0,14,0,0,0
520,0,0,0,0,0,0,21,0,0,0
521,473,0,87,0,13145,548,90,13204,477,373
522,0,0,0,0,52,12,0,0,0,0
523,0,0,0,0,10,16,0,0,0,0
524,0,0,0,0,74,9,25,0,0,0
525,0,0,0,0,30,6,0,0,0,0
526,0,0,0,0,6,0,0,0,0,0
527,0,0,0,0,1,0,0,0,0,0
528,10,0,0,0,370,28,0,384,1608,3145
529,0,0,0,0,0,0,0,0,0,0
530,5,0,0,0,494,84,29,533,0,0
531,0,0,0,0,2,1,0,0,0,0
532,110,1,0,0,1961,353,0,2191,2958,2026
533,0,0,0,0,28,0,10,0,0,0
534,1,0,0,0,83,17,0,0,976,976
535,0,0,0,0,4,2,5,0,0,0
536,0,0,0,0,20,12,0,0,0,0
537,0,1,0,0,8,0,0,0,0,0
538,0,0,0,0,2,0,0,0,0,0
539,0,0,0,0,3,0,0,0,0,0
540,0,0,0,0,0,0,0,0,0,0
541,1,0,0,0,426,63,72,444,305,380
542,0,0,0,0,3,0,0,0,0,0
543,0,0,0,0,0,0,0,0,0,0
544,0,0,0,0,2,1,22,0,0,0
545,0,1,0,0,9,0,76,0,0,0
546,0,0,0,0,10,1,10,0,0,0
547,346,2,0,0,0,0,104,123,613,270
548,0,0,0,0,11,13,0,0,0,0
549,0,0,0,0,27,3,9,0,0,0
550,0,0,0,0,6,2,0,0,0,0
551,15,0,0,0,77,3,6,0,0,0
552,0,0,0,0,10,1,15,0,2,2
553,0,0,0,0,239,68,30,261,186,207
554,9,0,0,0,311,42,100,332,0,0
555,0,0,0,0,2,1,0,0,0,0
556,0,0,0,0,1,0,0,0,0,0
557,2,0,0,0,927,234,10,993,193,212
558,51,0,0,0,708,242,1,699,1917,1917
559,0,0,0,0,31,7,15,0,0,0
560,0,0,0,0,4,1,0,0,0,0
561,0,1,0,0,11,1,23,0,0,0
562,0,0,0,0,6,4,0,0,0,0
563,1,0,0,0,96,216,0,0,14,17
564,0,0,0,0,1,0,0,0,0,0
565,0,0,0,0,15,21,6,0,0,0
566,0,0,0,0,0,3,7,0,0,0
567,0,0,0,0,9,0,54,0,0,0
568,0,0,0,0,6,3,20,0,0,0
569,1,0,0,0,0,0,0,0,0,0
570,1,0,0,0,155,103,12,204,0,0
571,0,0,0,0,2,0,0,0,0,0
572,0,0,0,0,1,0,9,0,0,0
573,2,0,0,0,197,40,0,174,301,301
574,0,0,0,0,10,3,10,0,333,343
575,0,0,0,0,1,1,0,0,0,0
576,0,0,0,0,2,0,0,0,0,0
577,0,0,0,0,5,4,0,0,0,0
578,0,1,0,0,0,0,0,0,0,0
579,0,0,0,0,4,1,13,0,0,0
580,0,0,0,0,0,0,0,0,0,0
581,0,1,0,0,180,47,10,125,0,0
582,1,0,0,0,0,0,100,0,0,0
583,0,0,0,0,40,5,74,0,0,0
584,0,0,0,0,7,2,0,0,0,0
585,0,0,0,0,237,262,0,456,154,154
586,9,1,0,0,755,103,35,771,263,334
587,2,2,0,0,42,0,26,0,0,0
588,1,0,0,0,50,2,13,0,0,0
589,0,0,0,0,5,0,0,0,0,0
590,0,1,0,0,2,0,11,0,0,0
591,0,1,0,0,31,8,5,0,4,5
592,1,0,0,0,29,6,14,0,0,0
593,1,0,76,0,117,4,0,109,46,91
594,0,0,0,0,10,2,0,0,0,0
595,0,0,0,0,1,1,0,0,0,0
596,0,0,0,0,0,0,0,0,0,0
597,0,0,0,0,1,0,71,0,0,0
598,0,0,0,0,0,0,0,0,0,0
599,1,0,0,0,22,8,18,0,317,317
600,0,0,0,0,26,18,0,0,0,0
601,0,0,0,0,8,2,26,0,0,0
602,0,0,0,0,1,0,0,0,0,0
603,0,0,0,0,28,7,0,0,0,0
604,4,0,0,0,428,175,0,0,0,0
605,0,0,0,0,35,10,57,0,0,0
606,0,0,0,0,0,0,0,0,0,0
607,0,0,0,0,2,0,7,0,0,0
608,1,31,0,0,713,304,0,934,16,16
609,0,0,0,0,4,0,0,0,0,0
610,0,0,0,0,9,0,15,0,0,0
611,0,0,0,0,6,1,2,0,0,0
612,0,0,0,0,5,3,0,0,0,0
613,4,1,0,0,816,39,18,704,84,97
614,1,0,0,0,2,2,0,0,0,0
